"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Xeiramocidade: Hoxe as 20h concentracións en todo o país polo asasinato machista de Diana Quer. #Feminismo [Mais info no cartaz] https:…",FALSE,0,NA,2018-01-02 12:03:48,FALSE,NA,"948162908994850816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MLRiveiro",14,TRUE,FALSE,NA,NA
"2","#AmigasYConocidas #feminismo  ?ya lo demostrasteis hace dos semanas lo que sois",FALSE,0,NA,2018-01-02 12:02:24,FALSE,NA,"948162558086778880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAXKOARV",0,FALSE,FALSE,NA,NA
"3","Es contradictorio ver q el mismo #feminismo q acusa a todo el mundo d falta d empatía,culpa a todos los hombres x lo q haga un degenerado",FALSE,0,NA,2018-01-02 12:00:54,FALSE,NA,"948162180146515969",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","luisjuantp",0,FALSE,FALSE,NA,NA
"4","RT @Xeiramocidade: Hoxe as 20h concentracións en todo o país polo asasinato machista de Diana Quer. #Feminismo [Mais info no cartaz] https:…",FALSE,0,NA,2018-01-02 11:59:32,FALSE,NA,"948161836469415936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lara_baroca",14,TRUE,FALSE,NA,NA
"5","RT @Xeiramocidade: Hoxe as 20h concentracións en todo o país polo asasinato machista de Diana Quer. #Feminismo [Mais info no cartaz] https:…",FALSE,0,NA,2018-01-02 11:48:19,FALSE,NA,"948159015023980544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abril68777674",14,TRUE,FALSE,NA,NA
"6","RT @letra_escarlata: El #Feminismo un asunto de mujeres y de hombres
Proyecto de fotos y vídeos en el que #Padres hablan de feminismo a sus…",FALSE,0,NA,2018-01-02 11:47:59,FALSE,NA,"948158929556725760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abril68777674",56,TRUE,FALSE,NA,NA
"7","Me quito el sombrero con este hilo #feminismo https://t.co/w9M0QiEf8R",FALSE,1,NA,2018-01-02 11:47:33,FALSE,NA,"948158822564147200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lulilu_3",0,FALSE,FALSE,NA,NA
"8","Feminismo en rosa, la chocante fotografía de Juno Calypso
https://t.co/QgzsBgUMCk
#arte #fotografia #feminismo https://t.co/ezny6ddPVI",FALSE,0,NA,2018-01-02 11:47:11,FALSE,NA,"948158726917279744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arte_en_todo",0,FALSE,FALSE,NA,NA
"9","¿Qué es el #Feminismo y cuáles son los ideales que representa? ¡Esto y mucho más, aquí! https://t.co/UmoCx32zmG",FALSE,0,NA,2018-01-02 11:45:09,FALSE,NA,"948158214973083648",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","jonathan71b",0,FALSE,FALSE,NA,NA
"10","RT @Xeiramocidade: Hoxe as 20h concentracións en todo o país polo asasinato machista de Diana Quer. #Feminismo [Mais info no cartaz] https:…",FALSE,0,NA,2018-01-02 11:44:18,FALSE,NA,"948158001613074433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bruno_Arias",14,TRUE,FALSE,NA,NA
"11","Interesante artículo de @carolinkfingers  sobre #feminismo, cuidado de la vida como valor y #neoliberalismo",FALSE,1,NA,2018-01-02 11:42:09,FALSE,NA,"948157463349559296",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","OficialAnvag",0,FALSE,FALSE,NA,NA
"12","@CREMalaga repartiendo #Ilusion en forma de #juguetes no sexistas para niñas y niños víctivas de #VdeG en colaborac… https://t.co/UYG6wtHHET",FALSE,0,"CREMalaga",2018-01-02 11:42:09,TRUE,NA,"948157460426252289","140905913","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adimujer",0,FALSE,FALSE,NA,NA
"13","RT @Xeiramocidade: Hoxe as 20h concentracións en todo o país polo asasinato machista de Diana Quer. #Feminismo [Mais info no cartaz] https:…",FALSE,0,NA,2018-01-02 11:35:49,FALSE,NA,"948155869103091712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","l_svarez",14,TRUE,FALSE,NA,NA
"14","¿Tienes una buena idea para desarrollar un pequeño proyecto en #Cuba? ¡Echa un ojo a esta convocatoria! #Feminismo… https://t.co/2YzpCAoXxY",FALSE,0,NA,2018-01-02 11:30:20,TRUE,NA,"948154489248387073",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PeopleCuba",0,FALSE,FALSE,NA,NA
"15","RT @princessadoram: Llegan los reyes magos: 8 Libros feministas del 2017: el año que dijimos ""yo también"" y ""yo sí te creo"" #feminismo #sor…",FALSE,0,NA,2018-01-02 11:28:38,FALSE,NA,"948154061118898176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlbaIRodriguez",6,TRUE,FALSE,NA,NA
"16","Somos nosotras las que decidimos sobre nuestro cuerpo y nuestra vida. La #frasecélebre de esta semana viene de la m… https://t.co/GXgOxf0xMu",FALSE,3,NA,2018-01-02 11:28:38,TRUE,NA,"948154058522742784",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","red_apoyo_LA",1,FALSE,FALSE,NA,NA
"17","RT @princessadoram: Llegan los reyes magos: 8 Libros feministas del 2017: el año que dijimos ""yo también"" y ""yo sí te creo"" #feminismo #sor…",FALSE,0,NA,2018-01-02 11:23:51,FALSE,NA,"948152857366335489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ciudaddemujeres",6,TRUE,FALSE,NA,NA
"18","RT @princessadoram: Acoso en la facultad: ""Aguanté hasta el examen. Pensé que era mi culpa  #feminismo #sororidad #visibilidad https://t.co…",FALSE,0,NA,2018-01-02 11:23:04,FALSE,NA,"948152659856576512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lamalpagada2",7,TRUE,FALSE,NA,NA
