"","tweets_txt"
"1","   mujeresenlahistoria  mujeresenlaciencia Dana Ulery primera ingeniera de la Nasa   feminismo  sororidad  visibilidad ht "
"2","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"3","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga "
"4"," mujeresenlahistoria  mujeresenlaciencia Dana Ulery primera ingeniera de la Nasa   feminismo  sororidad  visibilidad"
"5","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga "
"6","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga "
"7","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"8","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga "
"9"," Noti Fem está disponible  feminismo  opinión"
"10","La Comunidad de Madrid de la señoray eldel señorcon su poco compromiso contr "
"11","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"12","  Mi primera crítica enen  es para  unahabitacionpropia  feminismo en"
"13","Mi primera crítica enen  es para  unahabitacionpropia  feminismo en"
"14","Yo quiero unas  CampanadasA con un tío buenorro  q genere expectativas x lo q llevará esa noche  quiero q se quite "
"15","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"16","Interesante artículo de carolinkfingerssobre  feminismo  cuidado de la vida como valor y  neoliberalismo"
"17","   AmigasYConocidas  feminismo ya lo demostrasteis hace dos semanas lo que sois"
"18","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"19"," AmigasYConocidas  feminismo ya lo demostrasteis hace dos semanas lo que sois"
"20","Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga un degenerado"
"21","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"22","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"23","  El  Feminismo un asunto de mujeres y de hombres Proyecto de fotos y vídeos en el que  Padres hablan de feminismo a sus "
"24","Me quito el sombrero con este hilo  feminismo"
"25","Feminismo en rosa  la chocante fotografía de Juno Calypso   fotografia  feminismo"
"26"," Qué es el  Feminismo y cuáles son los ideales que representa   Esto y mucho más  aquí "
"27","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"28","Interesante artículo desobre  feminismo  cuidado de la vida como valor y  neoliberalismo"
"29","repartiendo  Ilusion en forma de  juguetes no sexistas para niñas y niños víctivas de  VdeG en colaborac "
"30","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"31","Ahi las tienen llamandose victimas al mismo tiempo que se mofan de ver muertos a otros e incitando a mas muerte  de "
"32"," Tienes una buena idea para desarrollar un pequeño proyecto en  Cuba   Echa un ojo a esta convocatoria   Feminismo "
"33","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"34","Somos nosotras las que decidimos sobre nuestro cuerpo y nuestra vida  La  frasecélebre de esta semana viene de la m "
"35","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"36","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad"
"37","  El  Feminismo esa filosofía radical que defiende que las mujeres somos personas                "
"38","Al menos  mujeres y niños han sido asesinados en España en crímenes de violencia de género desde que comenzaron "
"39","Empezamos la agenda  Feminismo  Huesca"
"40","Seguro que no os lleva ni  segundos  Sólo una de las siguientes imágenes es un evidente ejemplo de  cosificación d "
"41","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad"
"42","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"43","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"44","  días para el primer capítulo    machismo  feminismo  feminisme  feminism  feminist  feminista  igualdad  equidad "
"45","Vuestro problema es q focalizáis vuestro od "
"46","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"47","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"48","  En cuanto el  feminismo blanco se intersecciona con otros discursos  empezamos a ver cuánta ficción encierra la  liberac "
"49","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad"
"50","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"51","Legado de  mujeres que fallecieron en  y que quizá no conozcas       feminismo  mujer"
"52","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"53","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad"
"54","Hahahahahahaha me parto con las del deminismo no es lo contrario al machismo  Aqui un claro ejemplo  Las "
"55","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"56","Amigas  seamos más sororas   feminismo"
"57","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"58","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"59","Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz "
"60","  Esto sí es  Feminismo  La  ajedrecista que desafió a  ArabiaSaudí   Sólo yo elijo cómo visto ví "
"61","   El  feminismo radical y cultural nos está conduciendo a la liberación de la mujer o a una imposición del dogmatismo "
"62","   Feminismo y lucha sindical  las mujeres que lideran luchas laborales  Desdehasta las  espartanas  de Coca Co "
"63","Buena selección desobre  libros que ayudan a entender en qué consiste realmente el  feminismo    "
"64","En cuanto el  feminismo blanco se intersecciona con otros discursos  empezamos a ver cuánta ficción encierra la  li "
"65","Esto sí es  Feminismo  La  ajedrecista que desafió a  ArabiaSaudí   Sólo yo elijo cómo visto vía"
"66","    El test de Bechdel está pasado de moda  Creadoras proponen otras alternativas   cine  series  tv  feminismo"
"67","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad"
"68","  Por una universidad  feminista  si tocan a una nos tocan a todas   feminismo  género  machismo  universidad"
"69","Por una universidad  feminista  si tocan a una nos tocan a todas   feminismo  género  machismo  universidad"
"70","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"71","Para muchos la teocracia es Disneylandia para las minorias  LGTB  feminismo  feminism  FEMEN  Feminazis  masculinism"
"72","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"73","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"74","Como bien dice   este  documental ya tiene unos años  pero desgraciadamente cada vez está de más "
"75","              Interesante lectura  La justicia y la identificación con el agresor vía  Feminismo  AnálisisFeminista"
"76","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor "
"77","   El  feminismo radical y cultural nos está conduciendo a la liberación de la mujer o a una imposición del dogmatismo "
"78"," Entrevista en España  Yo  cuál es la progresión en tu departamento  El entrevistador responde  la "
