"","texto","muyNeg","Neg","muyPos","Pos","Valor","Sentimiento"
"1","   mujeresenlahistoria  mujeresenlaciencia Dana Ulery primera ingeniera de la Nasa   feminismo  sororidad  visibilidad ht ","0","0","0","0",0,"Neutro"
"2","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"3","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga ","0","3","0","0",-1.07142857142857,"Muy Negativo"
"4"," mujeresenlahistoria  mujeresenlaciencia Dana Ulery primera ingeniera de la Nasa   feminismo  sororidad  visibilidad","0","0","0","0",0,"Neutro"
"5","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga ","0","3","0","0",-1.07142857142857,"Muy Negativo"
"6","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga ","0","3","0","0",-1.07142857142857,"Muy Negativo"
"7","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"8","  Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga ","0","3","0","0",-1.07142857142857,"Muy Negativo"
"9"," Noti Fem está disponible  feminismo  opinión","0","0","0","0",0,"Neutro"
"10","La Comunidad de Madrid de la señoray eldel señorcon su poco compromiso contr ","0","0","1","0",1,"Positivo"
"11","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"12","  Mi primera crítica enen  es para  unahabitacionpropia  feminismo en","0","0","0","0",0,"Neutro"
"13","Mi primera crítica enen  es para  unahabitacionpropia  feminismo en","0","0","0","0",0,"Neutro"
"14","Yo quiero unas  CampanadasA con un tío buenorro  q genere expectativas x lo q llevará esa noche  quiero q se quite ","0","0","1","0",1,"Positivo"
"15","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"16","Interesante artículo de carolinkfingerssobre  feminismo  cuidado de la vida como valor y  neoliberalismo","0","0","3","0",2.14285714285714,"Muy Positivo"
"17","   AmigasYConocidas  feminismo ya lo demostrasteis hace dos semanas lo que sois","0","0","0","0",0,"Neutro"
"18","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"19"," AmigasYConocidas  feminismo ya lo demostrasteis hace dos semanas lo que sois","0","0","0","0",0,"Neutro"
"20","Es contradictorio ver q el mismo  feminismo q acusa a todo el mundo d falta d empatía culpa a todos los hombres x lo q haga un degenerado","0","3","0","0",-1.07142857142857,"Muy Negativo"
"21","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"22","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"23","  El  Feminismo un asunto de mujeres y de hombres Proyecto de fotos y vídeos en el que  Padres hablan de feminismo a sus ","0","0","0","0",0,"Neutro"
"24","Me quito el sombrero con este hilo  feminismo","0","0","0","0",0,"Neutro"
"25","Feminismo en rosa  la chocante fotografía de Juno Calypso   fotografia  feminismo","0","0","0","0",0,"Neutro"
"26"," Qué es el  Feminismo y cuáles son los ideales que representa   Esto y mucho más  aquí ","0","0","0","0",0,"Neutro"
"27","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"28","Interesante artículo desobre  feminismo  cuidado de la vida como valor y  neoliberalismo","0","0","3","0",2.14285714285714,"Muy Positivo"
"29","repartiendo  Ilusion en forma de  juguetes no sexistas para niñas y niños víctivas de  VdeG en colaborac ","0","0","0","0",0,"Neutro"
"30","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"31","Ahi las tienen llamandose victimas al mismo tiempo que se mofan de ver muertos a otros e incitando a mas muerte  de ","0","1","0","0",-0.5,"Negativo"
"32"," Tienes una buena idea para desarrollar un pequeño proyecto en  Cuba   Echa un ojo a esta convocatoria   Feminismo ","0","0","0","0",0,"Neutro"
"33","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"34","Somos nosotras las que decidimos sobre nuestro cuerpo y nuestra vida  La  frasecélebre de esta semana viene de la m ","0","0","0","0",0,"Neutro"
"35","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"36","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"37","  El  Feminismo esa filosofía radical que defiende que las mujeres somos personas                ","0","0","0","0",0,"Neutro"
"38","Al menos  mujeres y niños han sido asesinados en España en crímenes de violencia de género desde que comenzaron ","0","1","0","0",-0.5,"Negativo"
"39","Empezamos la agenda  Feminismo  Huesca","0","0","0","0",0,"Neutro"
"40","Seguro que no os lleva ni  segundos  Sólo una de las siguientes imágenes es un evidente ejemplo de  cosificación d ","0","1","1","0",0.416666666666667,"Positivo"
"41","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"42","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"43","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"44","  días para el primer capítulo    machismo  feminismo  feminisme  feminism  feminist  feminista  igualdad  equidad ","0","0","0","0",0,"Neutro"
"45","Vuestro problema es q focalizáis vuestro od ","0","1","0","0",-0.5,"Negativo"
"46","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"47","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"48","  En cuanto el  feminismo blanco se intersecciona con otros discursos  empezamos a ver cuánta ficción encierra la  liberac ","0","0","0","0",0,"Neutro"
"49","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"50","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"51","Legado de  mujeres que fallecieron en  y que quizá no conozcas       feminismo  mujer","0","0","0","0",0,"Neutro"
"52","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"53","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"54","Hahahahahahaha me parto con las del deminismo no es lo contrario al machismo  Aqui un claro ejemplo  Las ","0","1","0","0",-0.5,"Negativo"
"55","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"56","Amigas  seamos más sororas   feminismo","0","0","0","0",0,"Neutro"
"57","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"58","  Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"59","Hoxe as h concentracións en todo o país polo asasinato machista de Diana Quer   Feminismo  Mais info no cartaz ","0","0","0","0",0,"Neutro"
"60","  Esto sí es  Feminismo  La  ajedrecista que desafió a  ArabiaSaudí   Sólo yo elijo cómo visto ví ","0","0","1","0",1,"Positivo"
"61","   El  feminismo radical y cultural nos está conduciendo a la liberación de la mujer o a una imposición del dogmatismo ","0","0","0","0",0,"Neutro"
"62","   Feminismo y lucha sindical  las mujeres que lideran luchas laborales  Desdehasta las  espartanas  de Coca Co ","0","1","0","0",-0.5,"Negativo"
"63","Buena selección desobre  libros que ayudan a entender en qué consiste realmente el  feminismo    ","0","0","0","0",0,"Neutro"
"64","En cuanto el  feminismo blanco se intersecciona con otros discursos  empezamos a ver cuánta ficción encierra la  li ","0","0","0","0",0,"Neutro"
"65","Esto sí es  Feminismo  La  ajedrecista que desafió a  ArabiaSaudí   Sólo yo elijo cómo visto vía","0","0","1","0",1,"Positivo"
"66","    El test de Bechdel está pasado de moda  Creadoras proponen otras alternativas   cine  series  tv  feminismo","0","0","0","0",0,"Neutro"
"67","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"68","  Por una universidad  feminista  si tocan a una nos tocan a todas   feminismo  género  machismo  universidad","0","0","0","0",0,"Neutro"
"69","Por una universidad  feminista  si tocan a una nos tocan a todas   feminismo  género  machismo  universidad","0","0","0","0",0,"Neutro"
"70","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"71","Para muchos la teocracia es Disneylandia para las minorias  LGTB  feminismo  feminism  FEMEN  Feminazis  masculinism","0","0","0","0",0,"Neutro"
"72","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"73","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"74","Como bien dice   este  documental ya tiene unos años  pero desgraciadamente cada vez está de más ","0","0","2","0",1.66666666666667,"Muy Positivo"
"75","              Interesante lectura  La justicia y la identificación con el agresor vía  Feminismo  AnálisisFeminista","0","0","1","0",1,"Positivo"
"76","  Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo  sor ","0","0","1","0",1,"Positivo"
"77","   El  feminismo radical y cultural nos está conduciendo a la liberación de la mujer o a una imposición del dogmatismo ","0","0","0","0",0,"Neutro"
"78"," Entrevista en España  Yo  cuál es la progresión en tu departamento  El entrevistador responde  la ","0","0","0","0",0,"Neutro"
"79"," Hola   Feliz año  En AEGI ya estamos preparando las próximas novedades pero    aun puedes apuntarte a los curs ","0","0","0","0",0,"Neutro"
"80","Llegan los reyes magos   Libros feministas del   el año que dijimos  yo también  y  yo sí te creo   feminismo ","0","0","1","0",1,"Positivo"
"81","  El  feminismo como yo lo entiendo  Leído gracias a","0","0","2","0",1.66666666666667,"Muy Positivo"
"82","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"83","  Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"84"," El  feminismo radical y cultural nos está conduciendo a la liberación de la mujer o a una imposición del dogmatism ","0","0","0","0",0,"Neutro"
"85","Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad","0","1","0","0",-0.5,"Negativo"
"86","Esta genial  que a ti se te contrate por ser chef y caes en ponerte una chaqueta  graciosa  y tu co ","0","0","0","0",0,"Neutro"
"87","Esto es  Feminismo  lo depuro marketing ","0","0","0","0",0,"Neutro"
"88","PRIMER LIBRO DEL AÑO  DIÁLOGOS MASCULINOS  dey ","0","0","0","0",0,"Neutro"
"89","Me han eliminado este tweet que hice  marianononosningunees  dianaquer  violenciamachista  nonoscallaran  machismo ","0","0","0","0",0,"Neutro"
"90"," Tienes ya tu agenda del    pues echa un ojo a nuestros talleres y actividades y apunta las fechas  ","0","0","0","0",0,"Neutro"
"91","Nuevo principio de incertidumbre del  feminismo   Una mujer feminista joven y bella dentro de una caja viste con ro ","0","0","0","0",0,"Neutro"
"92","Una de las muestra de q aun queda mucho por luchar  feminismo","0","0","0","0",0,"Neutro"
"93","  Hombres que no saben distinguir entre  machismo y  feminismo y te dicen que  te lo hagas ver                                      ","0","0","0","0",0,"Neutro"
"94","            Interesante lectura  La justicia y la identificación con el agresor vía  Feminismo  AnálisisFeminista","0","0","1","0",1,"Positivo"
