"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Un año más de lucha feminista  <U+261B>  https://t.co/HyBz1oN9U3 vía atandocabosorg #Feminismo #Género #2018Feminista",FALSE,0,NA,2018-01-02 03:07:46,FALSE,NA,"948028012733304832",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","XimenaPazU",0,FALSE,FALSE,NA,NA
"2","RT @AlmendraDelirio: Un año más de lucha feminista  <U+261B>  https://t.co/RR9LADXszQ vía @atandocabosorg #Feminismo #Género #2018Feminista",FALSE,0,NA,2018-01-02 02:28:10,FALSE,NA,"948018048925126656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","yuuki_dono",1,TRUE,FALSE,NA,NA
"3","RT @LSeptico: La estupidez del #feminismo https://t.co/SGMqSSASAK",FALSE,0,NA,2018-01-02 02:13:14,FALSE,NA,"948014291474636801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lozano_leiva",9,TRUE,FALSE,NA,NA
"4","aldocardinali En resumen, no es #feminismo, es #hembrismo (el odio hacia el hombre  desde el principio)",FALSE,1,NA,2018-01-02 02:07:34,FALSE,NA,"948012863519588352",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","XimenaPazU",0,FALSE,FALSE,NA,NA
"5","Tengo la sensación de que el 2018 va a ser el año del feminismo, ya lo veréis <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> Vamos a ser más grandes aún #feminismo",FALSE,0,NA,2018-01-02 01:55:30,FALSE,NA,"948009827481083904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeLaLization",0,FALSE,FALSE,NA,NA
"6","RT @DoctoraGlas: El #feminismo no es una moda. 
El #feminismo es un compromiso. 
De nada.",FALSE,0,NA,2018-01-02 01:49:27,FALSE,NA,"948008305364029440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Filosofers",8,TRUE,FALSE,NA,NA
"7","No concibo que se use a una mujer como un objeto, bajo mi opinión es lo que está sucediendo con @CristiPedroche; es… https://t.co/OjMSNduQdo",FALSE,1,NA,2018-01-02 01:16:38,TRUE,NA,"948000047123369990",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Luis_Casas10",0,FALSE,FALSE,NA,NA
"8","@MichelPesquera Jajaja #feminismo",FALSE,0,"MichelPesquera",2018-01-02 01:16:13,FALSE,"654862544201494528","947999939447148544","130613344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kairi275",0,FALSE,FALSE,NA,NA
"9","La Pedroche se puede poner lo que le da la gana .eso es libertad de decisión y eso es #feminismo se ponga eso o una… https://t.co/TTAKphVASo",FALSE,1,NA,2018-01-02 01:07:39,FALSE,NA,"947997784589905920",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","XimenaPazU",0,FALSE,FALSE,NA,NA
"10","@AgustinLaje El #feminismo es la ideología más destructiva que ha visto esta era.  Lástima la ignorancia y la maldad que llevan a ella.",FALSE,0,"AgustinLaje",2018-01-02 01:04:05,FALSE,"947608940866621441","947996888992796672","175273213","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Licpguerra",0,FALSE,FALSE,NA,NA
"11","Un año más de lucha feminista  <U+261B>  https://t.co/RR9LADXszQ vía @atandocabosorg #Feminismo #Género #2018Feminista",FALSE,0,NA,2018-01-02 01:00:45,FALSE,NA,"947996046403211264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlmendraDelirio",1,FALSE,FALSE,NA,NA
"12","RT @comfeminista: Que en 2018 la fuerza se multiplique. #Feminismo #NiUnaMenos #IgualdadDeGéneroSí https://t.co/oKIBjpWLbD. Vía @HuffPostWo…",FALSE,0,NA,2018-01-02 00:59:40,FALSE,NA,"947995776701091841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","galeansh",4,TRUE,FALSE,NA,NA
"13","RT @LSeptico: La estupidez del #feminismo https://t.co/SGMqSSASAK",FALSE,0,NA,2018-01-02 00:32:32,FALSE,NA,"947988947644440576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VondrakoCAP",9,TRUE,FALSE,NA,NA
"14","@aldocardinali En resumen, no es #feminismo, es #hembrismo (el odio hacia el hombre  desde el principio)",FALSE,1,"aldocardinali",2018-01-02 00:17:23,FALSE,"947804051290378240","947985136771006464","866493324","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monchocaza",0,FALSE,FALSE,NA,NA
"15","RT @LSeptico: La estupidez del #feminismo https://t.co/SGMqSSASAK",FALSE,0,NA,2018-01-02 00:10:18,FALSE,NA,"947983351385862144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","qudrone1",9,TRUE,FALSE,NA,NA
